"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"Ficus luschnathiana","diameter at breast height (1.3 m)","2.55","cm",NA,-34.086,-53.768,NA,NA,"Mauricio Bonifacino",NA,"public",1627201
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-8.83333,-75,NA,NA,"James S. MIller",NA,"public",1639721
"Guarea macrophylla","diameter at breast height (1.3 m)","3.5","cm",NA,-12.4778,-69.2043,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1640062
"Guarea macrophylla","diameter at breast height (1.3 m)","3.5","cm",NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1640075
"Guarea macrophylla","diameter at breast height (1.3 m)","5","cm",NA,-3.78333,-73.5,NA,NA,"James S. MIller",NA,"public",1666659
"Guarea macrophylla","diameter at breast height (1.3 m)","5.3","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1666794
"Guarea macrophylla","diameter at breast height (1.3 m)","9.7","cm",NA,-12.4334,-68.8019,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1666873
"Endlicheria paniculata","diameter at breast height (1.3 m)","10.3","cm",NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1667007
"Psychotria suterella","diameter at breast height (1.3 m)","10","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1679753
"Psychotria suterella","diameter at breast height (1.3 m)","9","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1679754
"Psychotria suterella","diameter at breast height (1.3 m)","9","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1679756
"Guarea macrophylla","diameter at breast height (1.3 m)","9","cm",NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",1680082
"Guarea macrophylla","diameter at breast height (1.3 m)","160","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1680470
"Guarea macrophylla","diameter at breast height (1.3 m)","160","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1680537
"Guarea macrophylla","diameter at breast height (1.3 m)","112","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1680595
"Guarea macrophylla","diameter at breast height (1.3 m)","112","cm",NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1680596
"Guarea macrophylla","diameter at breast height (1.3 m)","121","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1691733
"Guarea macrophylla","diameter at breast height (1.3 m)","121","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1692155
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",1693445
"Guarea macrophylla","diameter at breast height (1.3 m)","8","cm",NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",1693642
"Guarea macrophylla","diameter at breast height (1.3 m)","26.9","cm",NA,-12.4814,-68.7611,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1693787
"Guarea macrophylla","diameter at breast height (1.3 m)","4","cm",NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1693887
"Guarea macrophylla","diameter at breast height (1.3 m)","35.8","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1693986
"Myrsine coriacea","diameter at breast height (1.3 m)","4.61549334966497","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1694056
"Guarea macrophylla","diameter at breast height (1.3 m)","650","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1694112
"Guarea macrophylla","diameter at breast height (1.3 m)","650","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1694113
"Guarea macrophylla","diameter at breast height (1.3 m)","475","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1694114
"Guarea macrophylla","diameter at breast height (1.3 m)","475","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1694115
"Guarea macrophylla","diameter at breast height (1.3 m)","104","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1694134
"Guarea macrophylla","diameter at breast height (1.3 m)","104","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1694135
"Myrsine coriacea","diameter at breast height (1.3 m)","28.5","cm",NA,0.883333,-78.1667,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",1706552
"Guarea macrophylla","diameter at breast height (1.3 m)","2.5","cm",NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1706883
"Guarea macrophylla","diameter at breast height (1.3 m)","18","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1707222
"Myrsine coriacea","diameter at breast height (1.3 m)","4.77464829275686","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1707625
"Guarea macrophylla","diameter at breast height (1.3 m)","100","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1721262
"Guarea macrophylla","diameter at breast height (1.3 m)","100","cm",NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1721263
"Myrsine umbellata","diameter at breast height (1.3 m)","8","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1733863
"Guarea macrophylla","diameter at breast height (1.3 m)","11.3","cm",NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1734184
"Myrsine coriacea","diameter at breast height (1.3 m)","15","cm",NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1734560
"Guarea macrophylla","diameter at breast height (1.3 m)","12.1","cm",NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1745950
"Guapira opposita","diameter at breast height (1.3 m)","16.2","cm",NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",1748524
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5049,-68.78,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1749966
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5348,-68.7579,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1749969
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1750002
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1750130
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1750131
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1750507
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1750513
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1750519
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1750661
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1750662
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1750663
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1750664
"Myrsine coriacea","whole plant growth form","tree",NA,NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",1751424
"Myrsine coriacea","whole plant growth form","tree",NA,NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",1751426
"Myrsine coriacea","whole plant growth form","tree",NA,NA,11.113,-74.031,NA,NA,"James S. MIller",NA,"public",1751427
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-16.3,-67.8,NA,NA,"James S. MIller",NA,"public",1751538
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1751636
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1751759
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1751882
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1751883
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1752283
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4706,-68.8016,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1753415
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.3459,-69.2546,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1753482
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1753760
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1753761
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1753768
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1753769
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1754800
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5048,-68.7776,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1755176
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5048,-68.7776,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1755178
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1755337
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1755344
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1755788
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1755789
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1755861
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1755862
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.9408,-61.1331,NA,NA,"Tim Killeen",NA,"public",1756202
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1757088
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1757095
"Guapira opposita","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1757203
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1757214
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1757215
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1757419
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1757420
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1757768
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1757769
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5049,-68.7505,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1758881
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5348,-68.7579,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1758890
"Myrsine coriacea","whole plant growth form","tree",NA,NA,0.871,-78.111,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",1759927
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5254,-69.4766,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1760769
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1761061
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1761062
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1761438
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1761439
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4847,-69.2148,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1762385
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-4.875,-73.629,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1762964
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-4.875,-73.629,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1762965
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.311,-75.112,NA,NA,"James S. MIller",NA,"public",1764039
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1764802
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1765893
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1766574
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.78333,-73.5,NA,NA,"James S. MIller",NA,"public",1767500
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4706,-68.8016,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1767656
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1767839
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1767840
"Guapira opposita","whole plant growth form","tree",NA,NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",1767877
"Guapira opposita","whole plant growth form","tree",NA,NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",1767878
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1768265
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1768363
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1768364
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1768378
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.25088,-72.8916,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1768379
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-5.778,-51.003,NA,NA,"James S. MIller",NA,"public",1768961
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1769299
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4706,-68.8016,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1769372
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1769934
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1771218
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1771901
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1772036
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1772037
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1773097
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.6107,-69.0178,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1773151
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.3299,-69.2712,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1773248
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-0.416667,-72.3333,NA,NA,"James S. MIller",NA,"public",1774507
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1774562
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1774563
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1774564
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1774565
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",1774657
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1775648
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1775649
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1775775
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1775776
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",1776697
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1777530
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.26164,-72.8997,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1777531
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1778255
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1778256
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1778257
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1778258
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4778,-69.2043,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1778797
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5675,-60.7478,NA,NA,"Tim Killeen",NA,"public",1779076
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5675,-60.7478,NA,NA,"Tim Killeen",NA,"public",1779095
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.076,-53.755,NA,NA,"Mauricio Bonifacino",NA,"public",1779366
"Dalbergia frutescens","whole plant growth form","liana",NA,NA,19.0833,-69.5,NA,NA,"James S. MIller",NA,"public",1779987
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.8406,-69.2929,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1780506
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-13.8858,-60.0667,NA,NA,"Tim Killeen",NA,"public",1780758
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1780707
"Endlicheria paniculata","whole plant growth form","tree",NA,NA,-13.6428,-60.8919,NA,NA,"Tim Killeen",NA,"public",1780708
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1780890
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1780891
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1781907
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1781908
"Psychotria suterella","whole plant growth form","tree",NA,NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1781909
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4961,-69.2226,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1782461
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783782
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783784
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783785
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783787
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783788
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783789
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783790
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783791
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783793
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783794
"Psychotria suterella","whole plant growth form","tree",NA,NA,-23.581,-46.07,NA,NA,"James S. MIller",NA,"public",1783795
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-4.91667,-73.75,NA,NA,"James S. MIller",NA,"public",1783903
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-13.35,-69.6667,NA,NA,"James S. MIller",NA,"public",1784014
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-13.35,-69.6667,NA,NA,"James S. MIller",NA,"public",1784015
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-10.311,-75.112,NA,NA,"James S. MIller",NA,"public",1784042
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1784130
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4286,-69.2751,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1784131
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1784259
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5389,-69.4257,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1784263
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1784536
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1784537
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1784775
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-11.85,-71.3167,NA,NA,"James S. MIller",NA,"public",1785762
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-3.43333,-72.85,NA,NA,"James S. MIller",NA,"public",1786069
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.8477,-69.2936,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1786171
"Myrsine coriacea","whole plant growth form","tree",NA,NA,0.871,-78.111,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",1787110
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.4845,-69.2003,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1787968
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-12.5254,-69.4766,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",1787982
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.3489,-61.1608,NA,NA,"Tim Killeen",NA,"public",1788049
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.3489,-61.1608,NA,NA,"Tim Killeen",NA,"public",1788050
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1788297
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1788298
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1788302
"Myrsine umbellata","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1788303
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1788502
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1788503
"Ficus luschnathiana","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1788512
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1789941
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1790025
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.5608,-60.7486,NA,NA,"Tim Killeen",NA,"public",1790124
